,CarName,CarYear,CarModel,EngineCapacity(l),HorsePower,CarFuel,CarTransmission,CarDrive,CarOdo(KM),carPrice,carPriceMin,highPrice,goodPrice,defltPrice,removed,minPrice
75,Audi A7,2016,,3.0,333,бензин,робот,4WD,80,2800000,,0,0,1,0,0
76,Toyota Land Cruiser,2013,,4.5,235,дизель,АКПП,4WD,135,3500000,,0,0,1,0,0
77,Toyota Camry,2021,2.5 AT GR Sport,2.5,200,бензин,АКПП,передний,12,3120000,,0,0,1,0,0
78,BMW X5,2015,,3.0,306,бензин,АКПП,4WD,102,2680000,,0,1,0,0,0
79,Hyundai Santa Fe,2021,,2.2,199,дизель,робот,4WD,32,3480000,,0,1,0,0,0
80,BMW X5,2010,,3.0,306,бензин,АКПП,4WD,215,1400000,,0,1,0,0,0
81,Kia Soul,2019,2.0 AT Prestige,2.0,150,бензин,АКПП,передний,21,1825000,,0,0,1,0,0
82,Toyota Land Cruiser,2018,4.5 TD AT Executive,4.5,249,дизель,АКПП,4WD,96,6705001,,0,0,1,0,0
83,Kia Sportage,2017,,2.0,150,бензин,АКПП,передний,87,1720000,,0,0,1,0,0
84,Chery Tiggo 4,2020,,2.0,122,бензин,вариатор,передний,47,1570000,,0,0,1,0,0
85,Toyota Camry,2021,2.5 AT Люкс Safety,2.5,200,бензин,АКПП,передний,19,3450000,,0,0,1,0,0
86,Hyundai Creta,2020,1.6 AT 2WD Active,1.6,123,бензин,АКПП,передний,52,1620000,,0,0,1,0,0
87,Toyota Camry,2023,,2.5,209,бензин,автомат,передний,0,4150000,,0,0,0,0,0
88,Hyundai Santa Fe,2022,2.2 CRDi DCT 4WD High-Tech 7 мест,2.2,199,дизель,робот,4WD,0,4900000,4600000,0,0,0,0,1
89,Hyundai Tucson,2022,2.0 CRDi AT 4WD Lifestyle,2.0,186,дизель,АКПП,4WD,0,3242000,3192000,0,0,0,0,1
90,Toyota Corolla Fielder,2000,,1.5,110,бензин,АКПП,передний,329,630000,,1,0,0,0,0
91,Toyota Duet,2002,,1.0,64 ,бензин,АКПП,передний,215,245000,,0,0,1,0,0
92,Subaru Outback,2001,,3.0,209,бензин,АКПП,4WD,250,295000,,0,0,0,0,0
93,Toyota Corolla Verso,2002,1.6 MT,1.6,110,бензин,механика,передний,336,499000,,0,0,0,0,0
94,Toyota Noah,2018,2.0 X 4WD (8 Seater),2.0,152,бензин,вариатор,4WD,125,1899000,,0,0,1,0,0
95,Nissan Serena,2016,2.0 20X V Selection+Safety Advanced Safety Package 4WD,2.0,144,бензин,вариатор,4WD,134,1498000,,0,0,1,0,0
96,Chery Tiggo 4 Pro,2023,1.5PT CVT Travel,1.5,147,бензин,вариатор,передний,0,2299900,2039900,0,0,0,0,1
97,Chery Tiggo 8 Pro Max,2023,2.0T DCT AWD Ultimate,2.0,197,бензин,робот,4WD,0,3719900,3359900,0,0,0,0,1
