,CarName,CarYear,CarModel,EngineCapacity(l),HorsePower,CarFuel,CarTransmission,CarDrive,CarOdo(KM),carPrice,carPriceMin,highPrice,goodPrice,defltPrice,removed,minPrice
82,Toyota Prius,2013,1.8 S Touring Selection MY COORDE,1.8,99 ,гибрид,вариатор,передний,5,1448000,,1,0,0,0,0
83,Skoda Octavia,2012,1.4 TSI DSG Elegance,1.4,122,бензин,робот,передний,139,898000,,1,0,0,0,0
84,Toyota Wish,2012,1.8 S Monotone,1.8,144,бензин,вариатор,передний,100,1248000,,0,0,1,0,0
85,Toyota Solara,2004,2.4 SЕ,2.4,157,бензин,АКПП,передний,285,650000,,0,0,0,0,0
86,Toyota RAV4,2014,2.0 CVT 2WD Комф,2.0, 2.,бензин,вариатор,передний,185,1670000,,0,0,1,0,0
87,Toyota Corolla Fielder,2012,1.5 G,1.5,109,бензин,вариатор,передний,136,825000,,0,0,1,0,0
88,Nissan Juke,2012,1.6 CVT 2WD SHIRO,1.6,117,бензин,вариатор,передний,142,800000,,0,1,0,0,0
89,Toyota Ipsum,1999,2.0 L selection,2.0,135,бензин,АКПП,передний,225,505000,,1,0,0,0,0
90,Peugeot 301,2013,1.2 MT Active,1.2,72 ,бензин,механика,передний,139,485000,,0,0,1,0,0
91,BMW X3,2021,,3.0,249,дизель,АКПП,4WD,32,5949000,,0,0,1,0,0
92,Toyota Probox,2018,1.3 DX Comfort,1.3,95 ,бензин,вариатор,передний,64,925000,,0,0,1,0,0
93,Honda Freed+,2017,1.5 G 4WD,1.5,131,бензин,вариатор,4WD,120,1215000,,0,0,1,0,0
94,Toyota Camry,2021,2.5,2.5,анс,бензин,АКПП,передний,50,3180000,,0,0,1,0,0
95,Toyota Land Cruiser,2008,4.5 TD AT Люкс,4.5,235,дизель,АКПП,4WD,243,2300000,,0,0,1,0,0
96,Toyota Land Cruiser Prado,2016,2.8D,2.8,анс,дизель,АКПП,4WD,132,3250000,,0,0,1,0,0
97,Toyota Aqua,2018,"1.5 G GR Sport 17"" Package",1.5,74 ,гибрид,вариатор,передний,50,1290000,,0,0,0,0,0
